Player Name,Team,Fantasy Points
Philip Salt,Royal Challengers Bengaluru,77
Virat Kohli,Royal Challengers Bengaluru,39
Devdutt Padikkal,Royal Challengers Bengaluru,39
Rajat Patidar,Royal Challengers Bengaluru,73
Liam Livingstone,Royal Challengers Bengaluru,20
Jitesh Sharma,Royal Challengers Bengaluru,29
Tim David,Royal Challengers Bengaluru,35
Krunal Pandya,Royal Challengers Bengaluru,-6
Bhuvneshwar Kumar,Royal Challengers Bengaluru,-4
Khaleel Ahmed,Chennai Super Kings,4
Ravichandran Ashwin,Chennai Super Kings,14
Sam Curran,Chennai Super Kings,6
Noor Ahmad,Chennai Super Kings,7
Ravindra Jadeja,Chennai Super Kings,31
Matheesha Pathirana,Chennai Super Kings,2
MS Dhoni,Chennai Super Kings,53
Rachin Ravindra,Chennai Super Kings,60
Ruturaj Gaikwad,Chennai Super Kings,0
Deepak Hooda,Chennai Super Kings,7
Rahul Tripathi,Chennai Super Kings,10
Shivam Dube,Chennai Super Kings,23
Josh Hazlewood,Royal Challengers Bengaluru,20
Yash Dayal,Royal Challengers Bengaluru,12
Suyash Sharma,Royal Challengers Bengaluru,-2
Manoj Bhandage,Royal Challengers Bengaluru,8